package,version,license,module,decision,evidence,condition,quote,repo_modules
bundled Google Protocol Buffers files,,,libs/nvschema,conditional,comment-101,"If the release ships the bundled Google Protocol Buffers files, the Google copyright/license attribution must be preserved in the repository NOTICE/third-party notices; otherwise the files must not be bundled.","If the release also ships the bundled Google Protocol Buffers files under libs/nv-schema/protobuf, please preserve the Google copyright/license attribution in the repository NOTICE/third-party notices, or do not bundle those files.",libs/nvschema
bundled Google Protocol Buffers files under libs/nv-schema/protobuf,,Google copyright/licence (not spelled out in the comment),libs/nvschema,conditional,comment-95,"Preserve the Google copyright/license attribution in the repository NOTICE/third-party notices, or do not bundle those files.","If the release also ships the bundled Google Protocol Buffers files under libs/nv-schema/protobuf, please preserve the Google copyright/license attribution in the repository NOTICE/third-party notices, or do not bundle those files.",libs/nvschema
deploy-folder OSS container dependency list supplied in comment 109 (Google Sheet 1ZPhXT6DhtEYTvdf_ZWcKeRgX3Dll3jxcDd2Ix,,,deploy,conditional,comment-108,"Team must give an explicit acknowledgement/confirmation that none of the GPL- or AGPL-licensed container images pointed to already contain NV proprietary SW unmodified from upstream; such a combination ""would not be approvable"".","OK, no concerns with that latest list.As discussed offline, I need a final determination from the team that none of the GPL or AGPL licensed container images we point to include NV proprietary SW. Specifically, I am not asking if you add NV proprietary SW, but whether such SW is already present unmodified from upstream. Such a combination would not be approvable for us to distribute or endorse for",deploy
Elasticsearch configuration file (elasticsearch.yml),,recipient's choice of Server Side Public License v2 (SSPLv2) or GNU Affero General Public License v3 (AGPLv3),deploy/docker/services/infra/elk/elasticsearch/configs,conditional,comment-74,Add a file header offering the recipient the choice of SSPLv2 or AGPLv3; update the top-level LICENSE file to state the config files are dual-licensed; include the full text of both SSPLv2 and AGPLv3 in the repository.,"For the Redis, Elasticsearch, and Kibana configuration files, please add a file header that offers the recipient the choice of licenses as follows: This file is provided under your choice of: (a) the Server Side Public License v2 (SSPLv2); or (b) the GNU Affero General Public License v3 (AGPLv3).",
ffmpeg,,,,conditional,comment-49,NOT approved in this comment. OSRB states approval is possible only once the team discloses (a) how the ffmpeg binary was built (no GPL support) and (b) the exhaustive list of SW codecs INCLUDED (not merely used) in that ffmpeg version. Comment #47 states the team instead removed ffmpeg/ffprobe from spatialai data utils.,"If you add ffmpeg we need to know how it was built (no GPL support) and we need to know what SW codecs are being supported by it. ffmpeg has been a major red flag in the last few weeks with all the containers as many teams have not properly disclosed what codecs were included. To be clear we are not asking what is being used, but what is included. So we must know for a fact the list of supported c",
Kibana configuration file (kibana.yml),,recipient's choice of Server Side Public License v2 (SSPLv2) or GNU Affero General Public License v3 (AGPLv3),deploy/docker/services/infra/elk/kibana/configs,conditional,comment-74,Add a file header offering the recipient the choice of SSPLv2 or AGPLv3; update the top-level LICENSE file to state the config files are dual-licensed; include the full text of both SSPLv2 and AGPLv3 in the repository.,"For the Redis, Elasticsearch, and Kibana configuration files, please add a file header that offers the recipient the choice of licenses as follows: This file is provided under your choice of: (a) the Server Side Public License v2 (SSPLv2); or (b) the GNU Affero General Public License v3 (AGPLv3).",
"L4TMM/vms_shim, github branch, ui/ scope",,Apache-2.0,services/vios,conditional,comment-83,"Update the root LICENSE.md so it contains the full Apache 2.0 license text, and add a root CONTRIBUTING.md with DCO sign-off requirements and full DCO text.","L4TMM/vms_shim, github branch, ui/ scope: UI source headers look good. Before approval, please update the root LICENSE.md so it contains the full Apache 2.0 license text, and add a root CONTRIBUTING.md with DCO sign-off requirements and full DCO text.",services/vios
langchain-oci,0.3.1,unresolved UPL-1.0/MIT conflict,services/agent,conditional,comment-22,Comment #25 records the licence as an 'unresolved UPL-1.0/MIT conflict'; the blanket approval in comment #22 ('all added components are permissive') does not resolve which licence applies. Treat the licence as unconfirmed.,"langchain-oci 0.3.1 — unresolved UPL-1.0/MIT conflict [comment #25]; approved in comment #22: ""No concerns with the three additions (comment #93 dependency refresh, ...). All added components are permissive or NVIDIA-owned, with no copyleft introduced. ... Closing again as approved.""",services/agent
langchain-oci,,,,conditional,comment-74,Add the applicable license identifier for the component (OSRB flagged it as missing a license identifier); no explicit approval sentence in this comment.,"Lastly, the two components langchain-oci and oci-openai are missing license identifiers. Please add the applicable license identifiers for those components as well.",
libav / libavcodec,,,services/vios,conditional,comment-59,"NOT approved in this comment. OSRB/Legal general guidance: avoid including SW h.264, h.265 or AAC codecs (royalty obligations); acceptable workarounds are NVIDIA HW codecs, other SW codecs, or having the user download the codecs themselves. Reviewer asks whether the libav package includes libavcodec. Comment #58 answers that codecs are not installed at container build and are instead installed at runtime by a separate script.","Hello [@Divy Sitlani (DSITLANI)] - the VST-backend sheet includes libav package. Please let us know if this includes the libavcodec library. Our general guidance is to avoid including SW h.264, h.265, or AAC codecs since those have royalty obligations. The work around would be to instead use NVIDIA HW codecs, other SW codecs besides the ones listed above, or to have the user download the codecs th",services/vios
